date,close,adj_close,volume
2000-01-03,321.25,321.25,285600
2000-01-04,300.0,300.0,215900
2000-01-05,283.5,283.5,1183500
2000-01-06,236.125,236.125,797500
2000-01-07,248.375,248.375,729100
2000-01-10,285.5,285.5,1143200
2000-01-11,278.4375,278.4375,481000
2000-01-12,254.0,254.0,1011300
2000-01-13,232.8125,232.8125,1031300
2000-01-14,230.0,230.0,641500
2000-01-18,211.5,211.5,822200
2000-01-19,224.75,224.75,1367500
2000-01-20,234.0,234.0,916400
2000-01-21,269.0,269.0,1232100
2000-01-24,262.0625,262.0625,886600
2000-01-25,279.3125,279.3125,369800
2000-01-26,277.5,277.5,596900
2000-01-27,281.125,281.125,544100
2000-01-28,270.0625,270.0625,418300
2000-01-31,249.125,249.125,675900
2000-02-01,239.0625,239.0625,328100
2000-02-02,233.625,233.625,314400
2000-02-03,245.375,245.375,479800
2000-02-04,235.0,235.0,330200
2000-02-07,228.625,228.625,1577400
2000-02-08,240.9375,240.9375,684000
2000-02-09,234.875,234.875,672500
2000-02-10,229.0,229.0,422800
2000-02-11,233.0625,233.0625,393000
2000-02-14,230.375,230.375,419000
2000-02-15,222.5,222.5,380600
2000-02-16,246.125,246.125,1087700
2000-02-17,252.0,252.0,702300
2000-02-18,241.6875,241.6875,502700
2000-02-22,242.125,242.125,374400
2000-02-23,252.0625,252.0625,497000
2000-02-24,274.8125,274.8125,739600
2000-02-25,267.0625,267.0625,493500
2000-02-28,256.75,256.75,456200
2000-02-29,261.25,261.25,252100
2000-03-01,278.625,278.625,688000
2000-03-02,268.0,268.0,556600
2000-03-03,268.375,268.375,585100
2000-03-06,254.0,254.0,363500
2000-03-07,262.4375,262.4375,585900
2000-03-08,265.0,265.0,400700
2000-03-09,286.0,286.0,465200
2000-03-10,296.0,296.0,669100
2000-03-13,284.75,284.75,453300
2000-03-14,269.75,269.75,343500
2000-03-15,240.25,240.25,898700
2000-03-16,229.125,229.125,826100
2000-03-17,218.9375,218.9375,550800
2000-03-20,213.25,213.25,1239900
2000-03-21,197.5,197.5,1344400
2000-03-22,208.5,208.5,821000
2000-03-23,201.875,201.875,633900
2000-03-24,211.0,211.0,556700
2000-03-27,208.6875,208.6875,325900
2000-03-28,199.875,199.875,493200
2000-03-29,170.0,170.0,1700200
2000-03-30,160.0625,160.0625,1395700
2000-03-31,160.8125,160.8125,841300
2000-04-03,119.0,119.0,1812400
2000-04-04,115.46875,115.46875,2058700
2000-04-05,110.0,110.0,1405500
2000-04-06,135.125,135.125,2277000
2000-04-07,145.6875,145.6875,1293800
2000-04-10,133.3125,133.3125,1420900
2000-04-11,107.75,107.75,3136600
2000-04-12,92.75,92.75,2596400
2000-04-13,88.0,88.0,1587800
2000-04-14,64.875,64.875,2184500
2000-04-17,70.0,70.0,2003400
2000-04-18,91.5,91.5,1895100
2000-04-19,88.9375,88.9375,1564000
2000-04-20,86.9375,86.9375,948900
2000-04-24,75.875,75.875,943100
2000-04-25,73.0625,73.0625,2603400
2000-04-26,73.5,73.5,1799600
2000-04-27,83.125,83.125,1502400
2000-04-28,98.875,98.875,2801200
2000-05-01,103.3125,103.3125,2010700
2000-05-02,105.375,105.375,1608600
2000-05-03,91.875,91.875,2057600
2000-05-04,97.0,97.0,1355000
2000-05-05,97.0625,97.0625,846400
2000-05-08,86.625,86.625,867700
2000-05-09,83.25,83.25,1300800
2000-05-10,77.375,77.375,1342500
2000-05-11,73.203125,73.203125,1488800
2000-05-12,70.5,70.5,1602000
2000-05-15,74.75,74.75,1559200
2000-05-16,76.0625,76.0625,1652600
2000-05-17,77.0,77.0,1398200
2000-05-18,75.5625,75.5625,806100
2000-05-19,71.9375,71.9375,852300
2000-05-22,69.375,69.375,1274700
2000-05-23,67.75,67.75,1333600
2000-05-24,66.4375,66.4375,1520000
2000-05-25,62.4375,62.4375,861800
2000-05-26,59.9375,59.9375,666700
2000-05-30,75.0,75.0,1787200
2000-05-31,66.75,66.75,1696600
2000-06-01,73.875,73.875,1412700
2000-06-02,89.0,89.0,3279800
2000-06-05,95.0625,95.0625,2892600
2000-06-06,87.5625,87.5625,2228800
2000-06-07,85.5,85.5,1824800
2000-06-08,90.5625,90.5625,1311100
2000-06-09,98.0,98.0,1612000
2000-06-12,88.625,88.625,1715100
2000-06-13,98.0,98.0,3002100
2000-06-14,93.9375,93.9375,3123100
2000-06-15,91.25,91.25,1597300
2000-06-16,88.0,88.0,1540900
2000-06-19,92.75,92.75,1359200
2000-06-20,94.0,94.0,2130900
2000-06-21,115.375,115.375,9643100
2000-06-22,107.5625,107.5625,2986800
2000-06-23,102.5,102.5,1420700
2000-06-26,119.25,119.25,3564400
2000-06-27,116.25,116.25,1782500
2000-06-28,112.5,112.5,2361000
2000-06-29,109.125,109.125,2089200
2000-06-30,118.734375,118.734375,1769300
2000-07-03,126.46875,126.46875,1635700
2000-07-05,115.1875,115.1875,1751300
2000-07-06,110.6875,110.6875,1943000
2000-07-07,113.75,113.75,1225900
2000-07-10,114.875,114.875,1146900
2000-07-11,107.0625,107.0625,1260400
2000-07-12,113.5,113.5,1391400
2000-07-13,127.0625,127.0625,2957900
2000-07-14,126.0,126.0,1849800
2000-07-17,124.6875,124.6875,924900
2000-07-18,122.0,122.0,1173000
2000-07-19,121.0,121.0,1345000
2000-07-20,125.4375,125.4375,1099700
2000-07-21,117.0,117.0,1096900
2000-07-24,107.875,107.875,1976400
2000-07-25,85.0,85.0,6955500
2000-07-26,84.6875,84.6875,5709600
2000-07-27,78.125,78.125,1236800
2000-07-28,77.9375,77.9375,1331600
2000-07-31,78.859375,78.859375,1799100
2000-08-01,71.25,71.25,1497600
2000-08-02,68.625,68.625,1863600
2000-08-03,75.0,75.0,2098000
2000-08-04,77.375,77.375,1358400
2000-08-07,76.6875,76.6875,907500
2000-08-08,74.0625,74.0625,1236100
2000-08-09,71.375,71.375,890500
2000-08-10,66.5,66.5,1671800
2000-08-11,63.4375,63.4375,3678000
2000-08-14,71.375,71.375,2869600
2000-08-15,75.0625,75.0625,2728800
2000-08-16,75.1875,75.1875,1265000
2000-08-17,75.125,75.125,1007800
2000-08-18,78.9375,78.9375,1699300
2000-08-21,76.0,76.0,788400
2000-08-22,71.625,71.625,2000700
2000-08-23,69.3125,69.3125,1435800
2000-08-24,65.1875,65.1875,4710300
2000-08-25,70.0625,70.0625,3072100
2000-08-28,67.0,67.0,2300600
2000-08-29,66.3125,66.3125,1430000
2000-08-30,72.5,72.5,2762700
2000-08-31,75.5625,75.5625,3741400
2000-09-01,72.1875,72.1875,1963200
2000-09-05,67.875,67.875,1532400
2000-09-06,69.125,69.125,1929900
2000-09-07,70.0,70.0,1219100
2000-09-08,67.5,67.5,1321600
2000-09-11,62.6875,62.6875,2754100
2000-09-12,61.6875,61.6875,3879500
2000-09-13,63.3125,63.3125,3211100
2000-09-14,63.9375,63.9375,2695900
2000-09-15,61.125,61.125,2690300
2000-09-18,59.875,59.875,1957700
2000-09-19,61.9375,61.9375,1649700
2000-09-20,60.625,60.625,1365700
2000-09-21,58.625,58.625,2265000
2000-09-22,56.25,56.25,1810000
2000-09-25,56.125,56.125,2272600
2000-09-26,57.375,57.375,1958800
2000-09-27,50.5,50.5,3394700
2000-09-28,48.875,48.875,2721700
2000-09-29,52.515625,52.515625,2824700
2000-10-02,46.875,46.875,2196100
2000-10-03,44.0,44.0,2379000
2000-10-04,45.484375,45.484375,2589500
2000-10-05,39.6875,39.6875,3113800
2000-10-06,36.1875,36.1875,3562800
2000-10-09,43.9375,43.9375,4383500
2000-10-10,41.75,41.75,6694500
2000-10-11,45.5625,45.5625,3590300
2000-10-12,42.875,42.875,2880400
2000-10-13,49.0,49.0,2440400
2000-10-16,52.875,52.875,4172900
2000-10-17,49.125,49.125,4311300
2000-10-18,40.375,40.375,5146800
2000-10-19,52.796875,52.796875,5611500
2000-10-20,56.375,56.375,4829900
2000-10-23,55.75,55.75,2394100
2000-10-24,53.0,53.0,2448700
2000-10-25,50.375,50.375,2596200
2000-10-26,49.0,49.0,1972800
2000-10-27,48.6875,48.6875,1501100
