date,open,high,low,close,adj_close,volume
2011-10-20,5.3108532370234975,5.321475389607288,5.251371735225828,5.306604862213135,5.306604862213135,296700
2011-10-21,5.380957827365336,5.410698890686035,5.36183891967581,5.410698890686035,5.410698890686035,566400
2011-10-24,5.521162860156589,5.521162860156589,5.4128214038082385,5.440438270568848,5.440438270568848,889800
2011-10-25,5.421318044551823,5.421318044551823,5.349090222036079,5.351214408874512,5.351214408874512,283200
2011-10-26,5.429817335765234,5.429817335765234,5.334221600604327,5.406448841094971,5.406448841094971,135000
2011-10-27,5.531783935020943,5.557276001679983,5.480799801702863,5.529659748077393,5.529659748077393,818100
2011-10-28,5.5360342354778975,5.5360342354778975,5.502044197389946,5.525412082672119,5.525412082672119,280500
2011-10-31,5.47655237135121,5.4871739168564835,5.4170708656311035,5.4170708656311035,5.4170708656311035,731400
2011-11-01,5.353340861977928,5.353340861977928,5.2832378044022095,5.293859958648682,5.293859958648682,852900
2011-11-02,5.387329450463097,5.421319487820788,5.327847948700287,5.363962173461914,5.363962173461914,970800
2011-11-03,5.448934078216553,5.457430825229458,5.363960530299946,5.448934078216553,5.448934078216553,1599600
2011-11-04,5.425566673278809,5.427691467995906,5.366085184555062,5.425566673278809,5.425566673278809,327000
2011-11-07,5.43406499402071,5.463805439775739,5.380956056678509,5.457432270050049,5.457432270050049,672000
2011-11-08,5.4956710272622695,5.529661065350222,5.446811677027304,5.525412082672119,5.525412082672119,1395600
2011-11-09,5.436189292480276,5.4404382749772475,5.342718363115141,5.359713077545166,5.359713077545166,1996500
2011-11-10,5.429816614724076,5.436189176665374,5.368210320393526,5.412821292877197,5.412821292877197,549300
2011-11-11,5.474426996285892,5.52328694590196,5.474426996285892,5.512664794921875,5.512664794921875,397500
2011-11-14,5.506291023070846,5.506291023070846,5.457430476418269,5.474425792694092,5.474425792694092,668100
2011-11-15,5.465931771834407,5.521164304244106,5.455310224490863,5.495672225952148,5.495672225952148,435300
2011-11-16,5.461680277071103,5.50841603634118,5.412820330864788,5.414945125579834,5.414945125579834,310200
2011-11-17,5.4234421069833525,5.429815275131239,5.3214738477322285,5.349090099334717,5.349090099334717,771900
2011-11-18,5.389453524880561,5.389453524880561,5.349090930709004,5.370334625244141,5.370334625244141,591600
2011-11-21,5.332094881332926,5.332094881332926,5.230126631798956,5.27048921585083,5.27048921585083,881700
